game,date,head_coach,opponent,season,season_num,score,opp_score,site,ot,diff,result,streak,post_season,special
1,12/3/1977,Sharon Petro,Valparaiso,1977-1978,1,48,41,h,n,7,w,1,n,
2,12/6/1977,Sharon Petro,St. Joseph College,1977-1978,1,79,67,a,n,12,w,2,n,
3,1/18/1978,Sharon Petro,Purdue-Calumet,1977-1978,1,50,46,a,n,4,w,3,n,
4,1/24/1978,Sharon Petro,IUPU-Fort Wayne,1977-1978,1,68,39,h,n,29,w,4,n,
5,1/31/1978,Sharon Petro,Grace,1977-1978,1,68,25,h,n,43,w,5,n,
6,2/3/1978,Sharon Petro,Marquette,1977-1978,1,41,66,a,n,-25,l,1,n,
7,2/6/1978,Sharon Petro,St. Mary's College,1977-1978,1,61,51,h,n,10,w,1,n,
8,2/9/1978,Sharon Petro,Manchester College,1977-1978,1,74,49,a,n,25,w,2,n,
9,2/11/1978,Sharon Petro,Northern Illinois,1977-1978,1,58,65,a,n,-7,l,1,n,
10,2/13/1978,Sharon Petro,Goshen,1977-1978,1,62,57,a,n,5,w,1,n,
11,2/15/1978,Sharon Petro,Indiana Tech-Fort Wayne,1977-1978,1,68,51,a,n,17,w,2,n,
12,2/18/1978,Sharon Petro,Marion College,1977-1978,1,62,50,h,n,12,w,3,n,
13,2/20/1978,Sharon Petro,St. Mary's,1977-1978,1,69,59,a,n,10,w,4,n,
14,2/24/1978,Sharon Petro,Huntington,1977-1978,1,62,52,n,n,10,w,5,y,Northern District Tournament
15,2/25/1978,Sharon Petro,St. Francis,1977-1978,1,61,45,n,n,16,w,6,y,Northern District Tournament
16,3/4/1978,Sharon Petro,Vincennes,1977-1978,1,69,73,n,n,-4,l,1,y,State Tournament
17,3/5/1978,Sharon Petro,St. Joseph College,1977-1978,1,64,65,n,n,-1,l,2,y,State Tournament
18,11/1/1978,Sharon Petro,Clarke,1978-1979,2,81,51,h,n,30,w,1,n,
19,11/6/1978,Sharon Petro,Illinois,1978-1979,2,60,81,a,n,-21,l,1,n,
20,12/1/1978,Sharon Petro,Valparaiso,1978-1979,2,57,43,h,n,14,w,1,n,
21,12/9/1978,Sharon Petro,Huntington,1978-1979,2,74,66,n,n,8,w,2,n,Huntington Tournament
22,12/9/1978,Sharon Petro,Valparaiso,1978-1979,2,66,52,n,n,14,w,3,n,Huntington Tournament
23,12/11/1978,Sharon Petro,St. Mary's College,1978-1979,2,71,54,h,n,17,w,4,n,
24,1/12/1979,Sharon Petro,Northern Illinois,1978-1979,2,62,60,n,n,2,w,5,n,Northen Illinois Tournament
25,1/12/1979,Sharon Petro,Upper Iowa,1978-1979,2,71,49,n,n,22,w,6,n,Northen Illinois Tournament
26,1/13/1979,Sharon Petro,Chicago State,1978-1979,2,78,55,n,n,23,w,7,n,Northen Illinois Tournament
27,1/20/1979,Sharon Petro,Michigan,1978-1979,2,66,93,a,n,-27,l,1,n,
28,1/22/1979,Sharon Petro,Valparaiso,1978-1979,2,57,43,h,n,14,w,1,n,
29,1/24/1979,Sharon Petro,IUPU-Fort Wayne,1978-1979,2,49,41,a,n,8,w,2,n,
30,1/27/1979,Sharon Petro,St. Mary's College,1978-1979,2,70,43,a,n,27,w,3,n,
31,1/30/1979,Sharon Petro,DePaul,1978-1979,2,53,82,a,n,-29,l,1,n,
32,2/3/1979,Sharon Petro,Marquette,1978-1979,2,60,57,h,n,3,w,1,n,
33,2/10/1979,Sharon Petro,Goshen,1978-1979,2,68,64,h,n,4,w,2,n,
34,2/13/1979,Sharon Petro,St. Joseph College,1978-1979,2,62,67,a,n,-5,l,1,n,
35,2/16/1979,Sharon Petro,Marion College,1978-1979,2,63,65,a,n,-2,l,2,n,
36,2/22/1979,Sharon Petro,Valparaiso,1978-1979,2,52,49,n,n,3,w,1,y,North District Tournament
37,2/23/1979,Sharon Petro,St. Mary's College,1978-1979,2,61,49,n,n,12,w,2,y,North District Tournament
38,2/24/1979,Sharon Petro,Rensselaer,1978-1979,2,70,69,n,y,1,w,3,y,North District Tournament
39,3/1/1979,Sharon Petro,Franklin,1978-1979,2,64,69,n,n,-5,l,1,y,IAIAW Tournament
40,11/30/1979,Sharon Petro,Marion College,1979-1980,3,68,60,n,n,8,w,1,n,Taylor Invitational
41,12/1/1979,Sharon Petro,Cedarville,1979-1980,3,73,60,n,n,13,w,2,n,Taylor Invitational
42,12/4/1979,Sharon Petro,St. Mary's College,1979-1980,3,81,45,a,n,36,w,3,n,
43,12/8/1979,Sharon Petro,Michigan,1979-1980,3,60,66,h,y,-6,l,1,n,
